Gyro x,Gyro y,Gyro z,Accelerometer x,Accelerometer y,Accelerometer z,Current time
-0.9766,-4.0283,0.9155,0.1577,0.0402,1.0442,4981
0.1831,-1.709,0.2441,0.1577,0.0354,1.0387,4997
3.479,2.0142,-1.5869,0.1503,0.0488,0.9944,5012
2.2583,0.9766,-1.5869,0.1434,0.0466,0.972,5028
1.4038,-1.5259,-1.2207,0.1371,0.0464,0.9525,5043
0.1831,-5.188,-0.9155,0.1343,0.0433,0.9758,5059
0.9766,-5.127,-1.3428,0.1344,0.043,0.9886,5074
2.4414,-3.6621,-1.5259,0.1326,0.0394,1.0077,5090
1.2817,-1.77,-0.061,0.1378,0.0437,1.0098,5105
1.0986,-1.4038,0.5493,0.1459,0.0311,1.0092,5121
0.061,-2.0752,0.9766,0.1553,0.0344,1.0199,5136
0.3052,-1.5869,0.5493,0.1564,0.0371,1.022,5152
3.2959,-0.6714,-1.6479,0.147,0.0372,1.0104,5167
4.8828,-1.2207,-2.8687,0.1393,0.037,1.0038,5183
4.3335,-1.8921,-2.6245,0.126,0.049,0.9917,5198
1.2207,-2.8687,-0.5493,0.1248,0.0436,0.9957,5214
0.7324,-3.2959,0.3052,0.1312,0.0419,1.0057,5229
-0.9766,-3.9062,1.8311,0.1479,0.0352,1.0316,5245
-0.061,-1.2817,1.9531,0.1584,0.042,1.0388,5260
-0.4272,0.5493,1.77,0.1719,0.0457,1.0177,5276
2.6855,0.8545,-0.8545,0.1674,0.0392,0.9783,5291
8.606,-0.3662,-3.479,0.165,0.0498,0.9558,5307
7.4463,-6.5918,-5.188,0.1589,0.0571,0.9824,5323
4.5166,-8.7891,-6.897,0.1553,0.0295,0.989,5338
7.2021,-6.1035,-6.1035,0.1366,0.0398,1.0243,5354
3.3569,-2.0752,-2.4414,0.136,0.0374,1.0142,5369
2.1362,-0.3662,-1.5869,0.1335,0.0447,1.0063,5385
2.5024,0.2441,-0.4883,0.1476,0.0366,0.9714,5400
0.061,-2.9907,-0.3052,0.1493,0.0447,0.9812,5416
0.1831,-3.9062,-1.2207,0.1571,0.0417,0.9924,5431
8.4229,-3.7231,-4.6387,0.1393,0.0031,0.963,5447
6.4697,-5.5542,-4.9438,0.1238,0.0355,0.9774,5463
0.6714,-10.437,-0.7935,0.1265,0.0311,1.0249,5478
-3.1738,-8.8501,2.9907,0.1467,0.0062,1.0745,5494
-0.9155,-4.6997,2.6245,0.1543,0.0198,1.0696,5509
4.4556,0.4883,0.6714,0.1653,0.0399,1.043,5525
0.1221,0.9155,0.6714,0.156,0.0544,1.0536,5540
-1.0986,2.6245,0.9155,0.1713,0.0618,1.0182,5556
-0.5493,-1.3428,-3.2959,0.1534,0.0479,0.9415,5571
-3.6621,-6.6528,-5.188,0.1355,0.0518,0.9246,5587
-43.2739,-12.2681,-0.4883,0.1572,0.2295,0.7449,5603
-94.1162,-10.1318,4.7607,0.1359,0.0962,0.608,5618
-185.73,-11.7187,-7.3853,-0.1162,0.0568,0.1263,5634
-181.6406,-4.9438,14.5874,0.3566,0.2667,-0.6674,5649
-278.8696,65.6738,73.7305,0.1115,-0.1918,0.2001,5664
8.3008,61.9507,-31.8604,0.1025,-0.0093,-0.1216,5680
-10.8643,64.8804,-58.8379,0.1118,-0.0276,-0.1714,5696
-187.8662,45.7153,-29.0527,0.0593,-0.0751,-0.1536,5711
-191.7725,33.6304,-56.3354,-0.0015,-0.116,-0.0161,5727
-117.3706,21.6064,-83.8623,0.025,-0.1173,-0.0625,5742
-114.4409,0.6104,-100.9521,0.0482,-0.1281,-0.1135,5758
-161.0718,-6.5308,-98.6938,0.036,-0.1129,-0.048,5773
-187.3169,3.9673,-105.3467,0.0316,-0.1027,0.017,5789
-204.1016,33.9966,-115.6006,0.0308,-0.1005,0.0255,5804
-236.8774,57.312,-115.1733,0.0189,-0.0839,0.0137,5820
-309.3262,123.4131,-114.0137,-0.036,-0.0979,-0.0114,5835
-340.7593,162.0483,-116.333,-0.0619,-0.1161,-0.0577,5851
-423.8281,255.5542,-120.9717,-0.1312,-0.1783,-0.1737,5866
-508.4229,372.9858,-128.1128,-0.2104,-0.2385,-0.3528,5882
-549.2554,441.6504,-132.6904,-0.2516,-0.4189,-0.4685,5898
-625.5493,599.0601,-139.7705,-0.3348,-0.7578,-0.7557,5914
-689.0259,783.8745,-138.6108,-0.3807,-1.0172,-0.9503,5930
-720.2759,883.8501,-131.5918,-0.5043,-1.8594,-1.3793,5946
-721.3745,1070.4346,-112.1826,-0.6476,-3.3947,-1.791,5962
-708.0078,1133.667,-138.5498,-0.7279,-3.9976,-1.901,5977
-687.8662,1139.0991,-174.4995,-0.8635,-3.9976,-1.7064,5993
-720.3979,890.0757,-215.21,-0.7738,-3.9976,-1.2898,6008
-601.8677,672.1191,-174.0112,-0.6709,-3.9976,-0.7994,6024
326.1719,273.3154,-142.0898,-0.4739,-1.646,-0.6288,6040
695.3735,66.9556,-228.2715,-0.4178,-1.1383,-0.7593,6056
555.7861,36.2549,-242.7979,-0.2167,-0.9635,-0.9537,6072
74.7681,-23.4375,-222.0459,-0.2448,-0.7834,-0.6426,6088
5.0659,-68.8477,-221.1304,-0.2909,-0.7776,-0.4395,6103
254.8218,-176.9409,-232.8491,-0.3331,-1.0315,-0.3262,6119
547.7905,-251.2817,-260.2539,-0.4286,-1.2533,-0.2626,6134
730.0415,-268.6157,-268.5547,-0.5212,-1.7911,-0.173,6150
1273.4985,-275.5737,-251.1597,-0.7245,-2.7015,-0.2954,6166
1482.7881,-146.2402,-239.6851,-0.6917,-3.2297,-0.5964,6182
1241.6382,-97.9614,-252.8076,-0.2787,-2.3274,-0.8431,6198
443.1763,-98.0225,-252.5635,-0.24,-0.9241,-0.1327,6214
308.2886,-92.8345,-137.6343,-0.2483,-0.6198,-0.1086,6229
66.6504,-58.2886,-56.8237,-0.0498,-0.524,-0.5074,6245
-712.6465,18.4326,95.7642,-0.0645,-0.6611,-0.709,6260
-1092.8345,17.5171,140.7471,-0.3805,-1.0065,-0.5161,6276
-1181.7017,19.7144,118.5913,-0.4344,-1.3364,-0.2642,6292
-844.2383,133.9722,7.1411,-0.3676,-1.4194,-0.2501,6308
-664.5508,215.1489,-53.7109,-0.2975,-1.5979,-0.355,6324
-307.6172,293.8843,-163.6353,-0.2859,-1.6633,-0.4557,6339
-137.7563,275.5737,-220.1538,-0.3008,-1.6467,-0.4639,6355
178.894,131.7139,-309.1431,-0.3566,-1.5483,-0.4424,6370
433.1055,-54.4434,-337.2803,-0.3809,-1.4064,-0.3912,6385
530.9448,-129.5776,-336.731,-0.4156,-1.0753,-0.2512,6401
729.0039,-234.8633,-297.3022,-0.4061,-0.8539,-0.1807,6417
799.4385,-261.6577,-264.1602,-0.3612,-0.7521,-0.208,6433
775.5737,-259.5825,-190.7959,-0.2522,-0.6007,-0.2488,6449
625.3052,-204.834,-115.8447,-0.174,-0.5424,-0.2565,6465
